Model,Dataset,test_loss,test_model_preparation_time,test_f1,test_precision,test_recall,test_threshold,test_sim_ratio,test_pos_sim,test_neg_sim,test_runtime,test_samples_per_second,test_steps_per_second
moe_tokensHF,COPD,3.3984272480010986,0.0047,0.7861,0.7039,0.8901,0.7461000084877014,1.2528,0.87,0.6945,25.5555,104.713,6.574
moe_tokensHF,CVD,3.6720995903015137,0.0045,0.906,0.8858,0.9271,0.8022000193595886,1.5423,0.9202,0.5966,43.9496,104.301,6.53
moe_tokensHF,CANCER,3.1199915409088135,0.0043,0.7687,0.713,0.8339,0.8504999876022339,1.1447,0.9063,0.7917,16.1956,107.066,6.73
moe_tokensHF,PARASITIC,3.9009668827056885,0.0042,0.9004,0.8783,0.9237,0.6812000274658203,1.81,0.847,0.4679,266.464,104.142,6.511
moe_tokensHF,AUTOIMMUNE,3.931391954421997,0.0048,0.8908,0.8692,0.9136,0.7055000066757202,1.7709,0.8617,0.4866,94.8647,106.109,6.641
moe_tokensHF,All,3.827438230673438,0.004390690023499252,0.8874711856440931,0.8609843580431533,0.9166137406537065,0.7082563409385608,1.718878128604999,0.8608409143345439,0.5094732920316172,184.730158619953,104.72151057466354,6.552529801324503
se_all_tokensHF,COPD,3.0696606636047363,0.0021,0.7661,0.7207,0.8176,0.8514999747276306,1.1422,0.9069,0.794,22.4886,118.994,7.47
se_all_tokensHF,CVD,3.3146636486053467,0.0019,0.8995,0.8916,0.9075,0.8252999782562256,1.446,0.9215,0.6373,38.7552,118.281,7.405
se_all_tokensHF,CANCER,3.040321111679077,0.0018,0.7301,0.607,0.9158,0.7867000102996826,1.1066,0.8858,0.8005,14.2477,121.704,7.65
se_all_tokensHF,PARASITIC,3.801475763320923,0.0017,0.8905,0.8694,0.9127,0.72079998254776,1.6434,0.8637,0.5255,235.781,117.694,7.359
se_all_tokensHF,AUTOIMMUNE,3.633077621459961,0.0029,0.8845,0.8586,0.912,0.7512000203132629,1.5411,0.8788,0.5703,84.0337,119.785,7.497
se_all_tokensHF,All,3.647559467601715,0.0020042042298654135,0.8770377483443709,0.8510306173894466,0.9067184746848964,0.7474835669884847,1.553533394573809,0.8758956077761162,0.5716184362315744,163.45534749839777,118.42399260841701,7.410305319376201
se_domainHF_CVDHF_CVD,COPD,4.668018341064453,0.0019,0.6897,0.5828,0.8445,0.6226000189781189,1.1619,0.7647,0.6582,22.4317,119.296,7.489
se_domainHF_CVDHF_CVD,CVD,4.606367111206055,0.0018,0.9527,0.9353,0.9708,0.7217000126838684,2.4054,0.91,0.3783,38.5941,118.774,7.436
se_domainHF_CVDHF_CVD,CANCER,4.090921878814697,0.0018,0.6701,0.5129,0.9666,0.6467999815940857,1.053,0.8668,0.8232,14.1796,122.288,7.687
se_domainHF_CVDHF_CVD,PARASITIC,4.303229808807373,0.0022,0.7202,0.6314,0.8381,0.6967999935150146,1.2209,0.8189,0.6707,235.6058,117.781,7.364
se_domainHF_CVDHF_CVD,AUTOIMMUNE,4.955393314361572,0.0019,0.7502,0.6577,0.8728,0.5746999979019165,1.4545,0.7664,0.5269,84.0207,119.804,7.498
se_domainHF_CVDHF_CVD,All,4.486145668726552,0.002064349497970519,0.7458199230933561,0.6596478273873103,0.8636828327280496,0.6668880939101643,1.3775362529374067,0.8152075582140568,0.6160777526169622,163.3271379235206,118.56683012176887,7.418977013458663
se_domainHF_AUTOIMMUNEHF_AUTOIMMUNE,COPD,2.963538646697998,0.004,0.6742,0.5201,0.9581,0.6473000049591064,1.0717,0.8461,0.7895,22.4465,119.217,7.484
se_domainHF_AUTOIMMUNEHF_AUTOIMMUNE,CVD,3.2044568061828613,0.0018,0.8794,0.884,0.8748,0.8162000179290771,1.4353,0.8975,0.6253,38.6182,118.701,7.432
se_domainHF_AUTOIMMUNEHF_AUTOIMMUNE,CANCER,3.2866785526275635,0.0018,0.6669,0.5003,1.0,0.44530001282691956,1.0659,0.8062,0.7564,14.2009,122.105,7.676
se_domainHF_AUTOIMMUNEHF_AUTOIMMUNE,PARASITIC,3.0608668327331543,0.0018,0.7242,0.6464,0.8233,0.7742000222206116,1.1249,0.8425,0.7489,235.8712,117.649,7.356
se_domainHF_AUTOIMMUNEHF_AUTOIMMUNE,AUTOIMMUNE,3.888434410095215,0.0032,0.8904,0.8659,0.9164,0.6205000281333923,2.1502,0.818,0.3804,84.0452,119.769,7.496
se_domainHF_AUTOIMMUNEHF_AUTOIMMUNE,All,3.2556888572682277,0.002226823328348643,0.7701570134586627,0.7042365562913907,0.8626151719718008,0.725823324450161,1.3705499508651997,0.8414786883144626,0.6601528775902585,163.49373652211065,118.46260734885708,7.412719333475753
se_domainHF_CANCERHF_CANCER,COPD,3.904822826385498,0.0031,0.6696,0.5166,0.9514,0.5194000005722046,1.0755,0.7667,0.7129,22.4111,119.405,7.496
se_domainHF_CANCERHF_CANCER,CVD,4.163925647735596,0.0018,0.8258,0.8435,0.8089,0.7378000020980835,1.5186,0.8193,0.5395,38.5862,118.799,7.438
se_domainHF_CANCERHF_CANCER,CANCER,3.497128486633301,0.0018,0.8509,0.8308,0.872,0.6679999828338623,1.4538,0.7926,0.5452,14.2155,121.979,7.668
se_domainHF_CANCERHF_CANCER,PARASITIC,4.166573524475098,0.002,0.6979,0.6002,0.8335,0.5975000262260437,1.2195,0.7306,0.5991,235.3831,117.893,7.371
se_domainHF_CANCERHF_CANCER,AUTOIMMUNE,4.6307454109191895,0.002,0.692,0.5639,0.8955,0.42329999804496765,1.2759,0.6475,0.5075,84.0045,119.827,7.5
se_domainHF_CANCERHF_CANCER,All,4.22636745265854,0.002035889767143773,0.7132060328989531,0.6199829139072847,0.8525896176030763,0.5719261928963065,1.2613656056398206,0.7257768382824182,0.5780748814355906,163.19101139500108,118.63540512710958,7.42344904934843
se_domainHF_PARASITICHF_PARASITIC,COPD,3.2885830402374268,0.005,0.6716,0.5122,0.9753,0.6528000235557556,1.0415,0.8396,0.8061,22.4442,119.229,7.485
se_domainHF_PARASITICHF_PARASITIC,CVD,3.190176010131836,0.0018,0.8446,0.8302,0.8595,0.8330000042915344,1.2317,0.8912,0.7236,38.6495,118.605,7.426
se_domainHF_PARASITICHF_PARASITIC,CANCER,3.353015422821045,0.0019,0.6677,0.5014,0.9988,0.4490000009536743,1.0502,0.8144,0.7754,14.2117,122.012,7.67
se_domainHF_PARASITICHF_PARASITIC,PARASITIC,4.114718914031982,0.0021,0.906,0.8866,0.9262,0.612500011920929,2.1802,0.8086,0.3709,235.9979,117.586,7.352
se_domainHF_PARASITICHF_PARASITIC,AUTOIMMUNE,3.2325258255004883,0.002,0.689,0.5866,0.8347,0.7282999753952026,1.1047,0.82,0.7422,83.8462,120.053,7.514
se_domainHF_PARASITICHF_PARASITIC,All,3.7590300921419955,0.002207494125186926,0.8310962144840846,0.7808924845118564,0.9054883614612262,0.6552419091539234,1.7490851057466354,0.8211273232215339,0.5251465456099124,163.52938793420208,118.4741706900235,7.413466096987823
se_domainHF_COPDHF_COPD,COPD,3.0329368114471436,0.0019,0.827,0.8215,0.8326,0.6844000220298767,1.4667,0.7986,0.5444,22.4388,119.258,7.487
se_domainHF_COPDHF_COPD,CVD,3.184528112411499,0.0018,0.8937,0.9093,0.8787,0.8285999894142151,1.4004,0.9069,0.6476,38.7324,118.351,7.41
se_domainHF_COPDHF_COPD,CANCER,3.2016844749450684,0.0024,0.6756,0.5291,0.9343,0.6924999952316284,1.0549,0.8456,0.8016,14.1909,122.191,7.681
se_domainHF_COPDHF_COPD,PARASITIC,3.27360200881958,0.0018,0.7039,0.5867,0.8797,0.7340999841690063,1.1159,0.8411,0.7538,235.4823,117.843,7.368
se_domainHF_COPDHF_COPD,AUTOIMMUNE,3.553710460662842,0.0032,0.7329,0.6543,0.8329,0.6757000088691711,1.2351,0.7938,0.6427,83.8225,120.087,7.516
se_domainHF_COPDHF_COPD,All,3.3086913457820364,0.002128998077333903,0.7347118051698355,0.6441173552659688,0.8688682119205298,0.7264136434976577,1.1871878017517623,0.8351093655201879,0.7093090237128818,163.22567145908994,118.61725225379192,7.422336295663319
